x,y,T
-0.47000, 0.41000,  8.7043045126E-01
-0.47000, 0.42000,  8.8043045126E-01
-0.47000, 0.43000,  8.9043045126E-01
-0.47000, 0.44000,  9.0043045126E-01
-0.47000, 0.45000,  9.1043045126E-01
-0.47000, 0.46000,  9.2043045126E-01
-0.47000, 0.47000,  9.3043045126E-01
-0.47000, 0.48000,  9.4043045126E-01
-0.47000, 0.49000,  9.5043045126E-01
-0.47000, 0.50000,  9.6043045126E-01
-0.46000,-0.50000,  9.5043971997E-01
-0.46000,-0.49000,  9.4043971997E-01
-0.46000,-0.48000,  9.3043971997E-01
-0.46000,-0.47000,  9.2043971997E-01
-0.46000,-0.46000,  9.1043971997E-01
-0.46000,-0.45000,  9.0043971997E-01
-0.46000,-0.44000,  8.9043971997E-01
-0.46000,-0.43000,  8.8043971997E-01
-0.46000,-0.42000,  8.7043971997E-01
-0.46000,-0.41000,  8.6043971997E-01
-0.46000,-0.40000,  8.5043971997E-01
-0.46000,-0.39000,  8.4043971997E-01
-0.46000,-0.38000,  8.3043971997E-01
-0.46000,-0.37000,  8.2043971997E-01
-0.46000,-0.36000,  8.1043971997E-01
-0.46000,-0.35000,  8.0043971997E-01
-0.46000,-0.34000,  7.9043971997E-01
-0.46000,-0.33000,  7.8043971997E-01
-0.46000,-0.32000,  7.7043971997E-01
-0.46000,-0.31000,  7.6043971997E-01
-0.46000,-0.30000,  7.5043971997E-01
-0.46000,-0.29000,  7.4043971997E-01
-0.46000,-0.28000,  7.3043971997E-01
-0.46000,-0.27000,  7.2043971997E-01
-0.46000,-0.26000,  7.1043971997E-01
-0.46000,-0.25000,  7.0043971997E-01
-0.46000,-0.24000,  6.9043971997E-01
-0.46000,-0.23000,  6.8043971997E-01
-0.46000,-0.22000,  6.7043971997E-01
-0.46000,-0.21000,  6.6043971997E-01
-0.46000,-0.20000,  6.5043971997E-01
-0.46000,-0.19000,  6.4043971997E-01
-0.46000,-0.18000,  6.3043971997E-01
-0.46000,-0.17000,  6.2043971997E-01
-0.46000,-0.16000,  6.1043971997E-01
-0.46000,-0.15000,  6.0043971997E-01
-0.46000,-0.14000,  5.9043971997E-01
-0.46000,-0.13000,  5.8043971997E-01
-0.46000,-0.12000,  5.7043971997E-01
-0.46000,-0.11000,  5.6043971997E-01
-0.46000,-0.10000,  5.5043971997E-01
-0.46000,-0.09000,  5.4043971997E-01
-0.46000,-0.08000,  5.3043971997E-01
-0.46000,-0.07000,  5.2043971997E-01
-0.46000,-0.06000,  5.1043971997E-01
-0.46000,-0.05000,  5.0043971997E-01
-0.46000,-0.04000,  4.9043971997E-01
-0.46000,-0.03000,  4.8043971997E-01
-0.46000,-0.02000,  4.7043971997E-01
-0.46000,-0.01000,  4.6043971997E-01
-0.46000, 0.00000,  4.6000000000E-01
-0.46000, 0.01000,  4.6043971997E-01
-0.46000, 0.02000,  4.7043971997E-01
-0.46000, 0.03000,  4.8043971997E-01
-0.46000, 0.04000,  4.9043971997E-01
-0.46000, 0.05000,  5.0043971997E-01
-0.46000, 0.06000,  5.1043971997E-01
-0.46000, 0.07000,  5.2043971997E-01
